team,replicate,side,needle_length_mm,needle_width_mm
grace_jace,1,sunny,18.44,0.79
grace_jace,2,sunny,12.48,0.99
grace_jace,3,sunny,17.73,1.12
grace_jace,4,sunny,13.98,0.94
grace_jace,5,sunny,14.18,1
grace_jace,6,sunny,19.17,0.99
grace_jace,7,sunny,10.92,0.81
grace_jace,8,sunny,17.32,1.29
grace_jace,1,shady,16.61,0.75
grace_jace,2,shady,16.95,0.84
grace_jace,3,shady,14.32,0.86
grace_jace,4,shady,15.6,0.98
grace_jace,5,shady,15.12,1.35
grace_jace,6,shady,13.06,0.77
grace_jace,7,shady,17.93,0.69
grace_jace,8,shady,13.46,1.17
