team,replicate,side,needle_length_mm,needle_width_mm
waterbugs,1,shady,10.54,1.22
waterbugs,2,shady,7.23,1.16
waterbugs,3,shady,11.64,1.27
waterbugs,4,shady,13.36,1.35
waterbugs,5,shady,15.07,1.28
waterbugs,6,shady,11.7,1.03
waterbugs,7,shady,11.26,1.13
waterbugs,8,shady,13.06,0.98
waterbugs,1,sunny,13.17,0.96
waterbugs,2,sunny,10.71,1.08
waterbugs,3,sunny,19.52,1.58
waterbugs,4,sunny,12.37,1.45
waterbugs,5,sunny,11.7,1.23
waterbugs,6,sunny,13.64,1.27
waterbugs,7,sunny,15.35,1.11
waterbugs,8,sunny,14.22,1.34
